? | GET /api/v1/Exhibits/{Page Number} | List-All-Exhibits | resp=ExhibitData[list]
? | DELETE /api/v1/Organizations/{Record Number}/Categories/{Category Code} | Delete-a-Category-for-an-Organization | resp=null
? | DELETE /api/v1/Webhooks/{Id} | DeleteWebhook | resp=null
Awards | POST /api/v1/Awards/{id}/Nominations | Awards-AddAwardNomination | resp=null
Awards | PUT /api/v1/Awards/{id}/Nominations/{nomineeRecordNumber} | Awards-UpdateAwardNomination | resp=null
Awards | GET /api/v1/Awards/{id}/Recipients/Individuals/{pageNumber} | Awards-GetIndividualAwardRecipients | resp=AwardRecipientIndividualData[list]
Awards | GET /api/v1/Awards/{id}/Recipients/Organizations/{pageNumber} | Awards-GetOrganizationAwardRecipients | resp=AwardRecipientOrganizationData[list]
Awards | GET /api/v1/Awards/{Page Number} | List-All-Awards | resp=AwardData[list]
Committee | POST /api/v1/Committees/{code}/Members | Add-To-Committee | resp=null
Committee | PUT /api/v1/Committees/{code}/Members/{memberRecordNumber}/{currentPositionCode} | Update-Committee-Member | resp=null
Committees | POST /api/v1/Committees/{Code}/Nominations | Add-Nominee | resp=null
Committees | GET /api/v1/Committees/{Code}/Nominations/{Page Number} | Get-Nominees-by-Committee | resp=CommitteeNomineeData[list]
Committees | GET /api/v1/Committees/{Code}/Positions | Get-Positions-by-Committee | resp=CommitteePositionData[list]
Committees | GET /api/v1/Committees/{Code}/subcommittees/{Page Number} | Get-Sub-Committees | resp=CommitteeData[list]
Committees | GET /api/v1/Committees/{ID Or Code}/Members/{Page Number} | Get-Committee-Members-by-committee-ID-or-code | resp=null
Committees | GET /api/v1/Committees/{Page Number} | Get-All-Committees | resp=CommitteeData[list]
Countries | GET /api/v1/Countries/{Country ID}/States/All/{Page Number} | Get-All-States-by-Country | resp=StateProvinceData[list]
Countries | GET /api/v1/Countries/All/{Page Number} | List-All-Countries | resp=CountryData[list]
Courses | GET /api/v1/Courses/{Code}/Attendees/{Page Number} | Get-Course-Attendees | resp=CourseAttendeeData[list]
CustomData | DELETE /api/v1/CustomData/{Table Name}/{ID} | Delete-Record-From-Custom-Data-Table | resp=null
Customer | GET /api/v1/Customers/{pageNumber} | Find-Customer-Phone | resp=INLINE[list]
Customers | GET /api/v1/Customers/RelationshipTypes/{Page Number} | List-of-Customer-Relationships | resp=RelationshipTypeData[list]
Events | GET /api/v1/Events/{Event Code}/Cancellations/{Page Number} | List-All-Event-Cancellations-by-Event | resp=RegistrantCancellationData[list]
Events | GET /api/v1/Events/{Event Code}/Registrations/{Page Number} | List-Registrants | resp=RegistrantData[list]
Events | POST /api/v1/Events/{Event Code}/Sessions/Register/{Customer ID or Record Number} | Register-an-Individual-for-a-Free-Session | resp=null
Events | GET /api/v1/Events/All/{Page Number} | Get-All-Events | resp=EventData[list]
Events | PUT /api/v1/Events/Registrants/{recordNumber}/Attended | Mark-Registrant-Attended | resp=null
Events | GET /api/v1/Events/Upcoming/{Page Number} | Get-Upcoming-Events | resp=EventData[list]
Exams | POST /api/v1/Exams/{Exam Code}/Scores | Add-Exam-Scores | resp=null
Exams | GET /api/v1/Products/Exams/{Page Number} | List-of-Exams | resp=ExamData[list]
Exhibits | GET /api/v1/Exhibits/{Exhibit Code}/Exhibitors/{Page Number} | List-All-Exhibitors | resp=ExhibitorData[list]
Individuals | POST /api/v1/Individuals | Add-Individual | resp=IndividualData
Individuals | POST /api/v1/Individuals/{ID Or Record Number}/Addresses | Add-or-Update-Address-to-Individual | resp=AddressSaveData
Individuals | GET /api/v1/Individuals/{ID or Record Number}/Certifications/{Page Number} | Get-List-of-Active-Certifications-for-an-Individual | resp=CertificationData[list]
Individuals | POST /api/v1/Individuals/{ID or Record Number}/CustomFieldsList | Add-or-Update-a-List-of-Custom-Fields-Per-Individual | resp=null
Individuals | POST /api/v1/Individuals/{ID Or Record Number}/Emails | Add-Email-to-Individual | resp=EmailData
Individuals | PUT /api/v1/Individuals/{ID or Record Number}/Emails/{Current Email Address} | Update-an-Individual-Email | resp=null
Individuals | DELETE /api/v1/Individuals/{ID or Record Number}/Links | Delete-an-Individual-Web-Link | resp=null
Individuals | POST /api/v1/Individuals/{ID or Record Number}/Links | Add-Web-Link-for-Individual | resp=null
Individuals | GET /api/v1/Individuals/{ID or Record Number}/Orders/Open/{Page Number} | Get-All-Open-Orders-for-an-Individual | resp=PayableOrderData[list]
Individuals | POST /api/v1/Individuals/{ID or Record Number}/Phones | Add-Phone-to-Individual | resp=PhoneDataSet
Individuals | PUT /api/v1/Individuals/{ID or Record Number}/Phones/{ID} | Update-Phone-for-an-Individual | resp=PhoneDataSet
Individuals | GET /api/v1/Individuals/{ID or Record Number}/Purchases/{Page Number} | Get-Purchases-for-an-Individual | resp=PurchasedItemData[list]
Individuals | GET /api/v1/Individuals/{ID or Record Number}/Registrations/{Page Number} | Get-All-Event-Registrations-Information-for-an-Individual | resp=RegistrationData[list]
Individuals | POST /api/v1/Individuals/{id}/Activities | Add-Activity | resp=null
Individuals | GET /api/v1/Individuals/{ID}/Committees/{Page Number} | Get-Committee-Information-for-an-Individual | resp=CommitteeMemberData[list]
Individuals | GET /api/v1/Individuals/{ID}/CustomFields | Get-Individual-Custom-Field-Values | resp=null
Individuals | POST /api/v1/Individuals/{ID}/CustomFields | Update-custom-field-value | resp=null
Individuals | GET /api/v1/Individuals/{ID}/Licenses/{Page Number} | Get-a-List-of-Licenses | resp=LicenseData[list]
Individuals | GET /api/v1/Individuals/{ID}/Memberships/Active | Get-Individual-Active-Memberships | resp=null
Individuals | GET /api/v1/Individuals/{ID}/Memberships/Inactive | Get-Individual-Inactive-Memberships | resp=MembershipData
Individuals | POST /api/v1/Individuals/{id}/Notes | Individual-AddNote | resp=null
