package,current_version(s),latest_version,location_count,dep_type(s)
"@angular-devkit/build-angular","21.1.3","21.1.3","2","dev"
"@angular/animations","21.1.3","21.1.3","11","dependencies | peer"
"@angular/cdk","21.1.3","21.1.3","7","dependencies | peer"
"@angular/cli","21.1.3","21.1.3","2","dev"
"@angular/common","^21.1.3 | ^21.0.0 | 21.1.3","21.1.3","63","dev | peer | dependencies"
"@angular/compiler","21.1.3 | ^21.1.3","21.1.3","60","dev | dependencies"
"@angular/compiler-cli","21.1.3 | ^21.1.3","21.1.3","61","dev"
"@angular/core","^21.1.3 | ^21.0.0 | 21.1.3","21.1.3","63","dev | peer | dependencies"
"@angular/elements","21.1.3","21.1.3","1","dependencies"
"@angular/forms","21.1.3 | ^21.0.0","21.1.3","46","peer | dependencies"
"@angular/localize","21.1.3","21.1.3","1","dependencies"
"@angular/platform-browser","21.1.3","21.1.3","21","dependencies | peer"
"@angular/platform-browser-dynamic","21.1.3","21.1.3","2","dependencies"
"@angular/router","^21.1.3 | ^21.0.0 | 21.1.3","21.1.3","31","dev | peer | dependencies"
"@anthropic-ai/sdk","0.50.4","0.73.0","1","dependencies"
"@apollo/server","^4.9.1","5.4.0","1","dependencies"
"@asamuzakjp/css-color","^3.2.0","4.1.2","2","dependencies"
"@auth0/auth0-angular","^2.6.0","2.6.0","2","peer | dependencies"
"@aws-sdk/client-bedrock-runtime","^3.496.0","3.984.0","1","dependencies"
"@aws-sdk/client-kms","^3.0.0","3.984.0","1","peer"
"@aws-sdk/client-s3","^3.537.0","3.984.0","1","dependencies"
"@aws-sdk/s3-request-presigner","^3.537.0","3.984.0","1","dependencies"
"@azure-rest/ai-inference","^1.0.0-beta.6","1.0.0-beta.6","1","dependencies"
"@azure/core-auth","^1.5.0","1.10.1","1","dependencies"
"@azure/identity","^4.0.0 | ^4.4.1 | ^4.0.1","4.13.0","4","dependencies | peer"
"@azure/keyvault-secrets","^4.0.0","4.10.0","1","peer"
"@azure/msal-angular","^3.0.11","5.0.3","2","peer | dependencies"
"@azure/msal-browser","^3.0.0 | ^3.17.0","5.1.0","2","peer | dependencies"
"@azure/msal-common","^14.0.0","16.0.3","1","peer"
"@azure/msal-node","^2.14.0","5.0.3","1","dependencies"
"@azure/storage-blob","^12.17.0","12.30.0","2","dependencies"
"@babel/core","^7.23.5 | ^7.22.0","7.29.0","2","dev"
"@babel/parser","^7.23.0","7.29.0","1","dependencies"
"@babel/preset-env","^7.23.5 | ^7.22.0","7.29.0","2","dev"
"@babel/preset-react","^7.22.0","7.28.5","1","dev"
"@babel/standalone","^7.23.5","7.29.1","2","dependencies"
"@babel/traverse","^7.23.0","7.29.0","1","dependencies"
"@babel/types","^7.23.0","7.29.0","1","dependencies"
"@cerebras/cerebras_cloud_sdk","^1.46.0","1.64.1","1","dependencies"
"@codemirror/commands","latest","6.10.1","1","dependencies"
"@codemirror/lang-javascript","^6.2.2","6.2.4","1","dependencies"
"@codemirror/lang-json","^6.0.1","6.0.2","1","dependencies"
"@codemirror/lang-python","^6.1.6","6.2.1","1","dependencies"
"@codemirror/lang-sql","^6.7.1","6.10.0","1","dependencies"
"@codemirror/language","latest","6.12.1","2","dependencies"
"@codemirror/language-data","^6.5.1","6.5.2","4","dependencies"
"@codemirror/merge","^6.6.3","6.11.2","2","dependencies"
"@codemirror/state","^6.5.4 | latest","6.5.4","2","dependencies"
"@codemirror/view","^6.39.11 | latest","6.39.12","3","dependencies"
"@csstools/css-calc","^2.1.4","3.0.0","1","dev"
"@csstools/css-color-parser","^3.1.0","4.0.1","1","dev"
"@dagrejs/dagre","^1.1.4 | ^1.1.8","2.0.3","3","dependencies"
"@elevenlabs/elevenlabs-js","^2.32.0","2.34.0","2","dependencies"
"@foblex/2d","1.2.2","1.2.2","1","dependencies"
"@foblex/flow","^18.0.0","18.0.0","1","dependencies"
"@foblex/mediator","1.1.3","1.1.3","1","dependencies"
"@foblex/platform","1.0.4","1.0.4","1","dependencies"
"@foblex/utils","1.1.1","1.1.1","1","dependencies"
"@google-cloud/storage","^7.9.0","7.19.0","1","dependencies"
"@google/genai","^1.34.0","1.40.0","2","dependencies"
"@graphql-tools/schema","latest","10.0.31","1","dependencies"
"@graphql-tools/utils","^10.0.1","11.0.0","1","dependencies"
"@inquirer/prompts","^5.0.1 | ^5.0.6","8.2.0","3","dependencies"
"@jest/globals","^30.2.0","30.2.0","1","dev"
"@lmstudio/sdk","^1.4.0","1.5.0","1","dependencies"
"@microsoft/mgt-element","^3.1.3","4.6.0","1","dependencies"
"@microsoft/mgt-msal2-provider","^3.1.3","4.6.0","1","dependencies"
"@microsoft/mgt-sharepoint-provider","^3.1.3","4.6.0","1","dependencies"
"@microsoft/microsoft-graph-client","^3.0.7","3.0.7","2","dependencies"
"@microsoft/microsoft-graph-types","^2.40.0","2.43.1","2","dependencies"
"@mistralai/mistralai","^1.6.0","1.14.0","1","dependencies"
"@modelcontextprotocol/sdk","^1.25.3","1.26.0","2","dependencies"
"@oclif/core","^3 | ^3.27.0 | ^3.26.5","4.8.0","4","dependencies"
"@oclif/plugin-help","^6 | ^6.2.33","6.2.37","3","dependencies"
"@oclif/plugin-version","^2.0.17","2.2.36","2","dependencies"
"@oclif/plugin-warn-if-update-available","^3.0.16","3.1.55","2","dependencies"
"@oclif/prettier-config","^0.2.1","0.2.1","2","dev"
"@okta/okta-auth-js","^7.14.1","7.14.1","2","peer | dependencies"
"@pinecone-database/pinecone","2.2.2","7.0.0","1","dependencies"
"@playwright/test","^1.40.0","1.58.1","1","dependencies"
"@progress/kendo-angular-buttons","22.0.1 | *","22.0.1","28","dependencies | peer"
"@progress/kendo-angular-common","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-conversational-ui","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-dateinputs","22.0.1 | *","22.0.1","7","dependencies | peer"
"@progress/kendo-angular-dialog","22.0.1 | *","22.0.1","28","dependencies | peer"
"@progress/kendo-angular-dropdowns","22.0.1 | *","22.0.1","18","dependencies | peer"
"@progress/kendo-angular-excel-export","22.0.1","22.0.1","10","dependencies"
"@progress/kendo-angular-grid","22.0.1 | *","22.0.1","15","dependencies | peer"
"@progress/kendo-angular-icons","* | 22.0.1","22.0.1","5","peer | dependencies"
"@progress/kendo-angular-indicators","22.0.1","22.0.1","18","dependencies | peer"
"@progress/kendo-angular-inputs","22.0.1 | *","22.0.1","17","dependencies | peer"
"@progress/kendo-angular-intl","22.0.1","22.0.1","2","dependencies"
"@progress/kendo-angular-l10n","22.0.1 | *","22.0.1","2","dependencies | peer"
"@progress/kendo-angular-label","22.0.1 | *","22.0.1","5","dependencies | peer"
"@progress/kendo-angular-layout","22.0.1 | *","22.0.1","16","dependencies | peer"
"@progress/kendo-angular-listbox","22.0.1","22.0.1","4","peer | dependencies"
"@progress/kendo-angular-listview","22.0.1","22.0.1","3","dependencies"
"@progress/kendo-angular-menu","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-navigation","22.0.1 | *","22.0.1","3","dependencies | peer"
"@progress/kendo-angular-notification","22.0.1 | *","22.0.1","10","dependencies | peer"
"@progress/kendo-angular-pager","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-pdf-export","22.0.1 | *","22.0.1","2","dependencies | peer"
"@progress/kendo-angular-popup","22.0.1 | *","22.0.1","2","dependencies | peer"
"@progress/kendo-angular-progressbar","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-scheduler","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-sortable","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-toolbar","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-tooltip","22.0.1","22.0.1","3","dependencies"
"@progress/kendo-angular-treeview","22.0.1","22.0.1","5","dependencies"
"@progress/kendo-angular-upload","22.0.1","22.0.1","2","dependencies"
"@progress/kendo-angular-utils","22.0.1 | *","22.0.1","2","dependencies | peer"
"@progress/kendo-data-query","~1.7.0","1.7.3","1","dependencies"
"@progress/kendo-drawing","^1.0.0 | *","1.24.0","2","dependencies | peer"
"@progress/kendo-licensing","^1.3.5","1.10.0","1","dependencies"
"@progress/kendo-svg-icons","^4.0.0","4.8.0","1","dependencies"
"@progress/kendo-theme-default","10.0.0","12.3.0","4","dependencies"
"@sendgrid/mail","^8.1.3","8.1.6","1","dependencies"
"@tempfix/idb","^8.0.3","8.0.3","1","dependencies"
